latitude,longitude,number_of_bikes,station_name
43.32159969615422,11.327948187171955,16,Curtatone
43.314553575496504,11.331021341104474,10,S. Agostino
43.31653903296188,11.337211648409948,7,S. Girolamo
43.3205234076899,11.32322528552777,10,Fortezza
43.32898332166825,11.321913356869572,10,Antiporto
43.317187429810794,11.354256229005387,10,Due Ponti
43.34175662737405,11.305010457706885,6,Napoli
43.343243018858246,11.32673330024295,14,Ospedale
43.33699934605541,11.300974983606011,9,Acquacalda
43.323781022808305,11.338891018177037,10,Ravacciano
43.34779988043242,11.326045898741882,10,S. Miniato
43.33228840552265,11.32417581394725,12,Terminal Bus
43.34144450071458,11.312348354700475,8,Vico Alto
43.3267643528839,11.333701602030146,6,Casa dell'Ambiente
43.309896469034115,11.315263114715208,10,Frajese
43.31731492915876,11.332998096329902,12,Mercato
43.296855852957854,11.334853581853508,9,Tufi
43.34340723815478,11.322848796844482,10,Calamandrei
43.33464040894888,11.304802894592287,10,Petriccio
